Strike,Ticker,Bid,Ask,Last,IVM,Vol,,Strike,Ticker,Bid,Ask,Last,IVM,Vol
,,,,,,,,,,,,,,
637.5,META 1/30/26 C637.5,43.55,44.2,42.93,98.52,30,,637.5,META 1/30/26 P637.5,8.45,8.7,10.73,92.05,587
640,META 1/30/26 C640,41.85,42.4,41,98.53,723,,640,META 1/30/26 P640,9.25,9.35,11.25,92.12,2804
642.5,META 1/30/26 C642.5,40.05,40.9,39.2,98.83,83,,642.5,META 1/30/26 P642.5,9.95,10.15,11.5,92.1,580
645,META 1/30/26 C645,38.55,39.05,37.8,98.8,304,,645,META 1/30/26 P645,10.75,11,13.13,92.25,1096
647.5,META 1/30/26 C647.5,36.9,37.4,36,98.71,127,,647.5,META 1/30/26 P647.5,11.5,11.85,14,92.07,1136
650,META 1/30/26 C650,35.25,35.7,32.7,98.33,2107,,650,META 1/30/26 P650,12.4,12.75,15.01,92.16,3136
652.5,META 1/30/26 C652.5,33.7,34.6,32.95,99.34,258,,652.5,META 1/30/26 P652.5,13.3,13.8,15.05,92.39,400
655,META 1/30/26 C655,32.25,32.8,31.37,98.81,558,,655,META 1/30/26 P655,14.3,14.75,17.14,92.41,1581
657.5,META 1/30/26 C657.5,30.75,31.25,30,98.54,91,,657.5,META 1/30/26 P657.5,15.3,15.8,17.26,92.43,628
660,META 1/30/26 C660,29.3,29.7,27.13,98.21,2661,,660,META 1/30/26 P660,16.5,16.85,19.38,92.72,1757
662.5,META 1/30/26 C662.5,27.7,28.45,27.15,98.03,280,,662.5,META 1/30/26 P662.5,17.75,18,20,93.12,1097
665,META 1/30/26 C665,26.45,27.05,24.55,98.09,990,,665,META 1/30/26 P665,18.55,19.1,21.2,92.26,1635
667.5,META 1/30/26 C667.5,25.1,25.75,23.25,97.97,664,,667.5,META 1/30/26 P667.5,19.85,20.35,22.58,92.6,1923
670,META 1/30/26 C670,24,24.3,22.17,97.88,11689,,670,META 1/30/26 P670,21.25,21.6,24.81,92.95,6341
672.5,META 1/30/26 C672.5,22.85,23.1,21.26,98.03,5703,,672.5,META 1/30/26 P672.5,22.2,22.85,25.6,92.17,4095
675,META 1/30/26 C675,21.7,21.9,19.74,98.01,5870,,675,META 1/30/26 P675,23.7,24.15,27.55,92.46,1602
677.5,META 1/30/26 C677.5,20.55,20.75,18.95,97.91,3618,,677.5,META 1/30/26 P677.5,25.05,25.55,27.22,92.91,370
680,META 1/30/26 C680,19.3,19.6,17.85,97.43,9816,,680,META 1/30/26 P680,26.3,27,28.62,92.16,416
682.5,META 1/30/26 C682.5,18,18.55,17.01,96.87,1619,,682.5,META 1/30/26 P682.5,27.4,28.55,30.14,91.57,65
685,META 1/30/26 C685,17,17.5,15.72,96.78,2356,,685,META 1/30/26 P685,28.8,30.05,30.54,91.32,166
687.5,META 1/30/26 C687.5,15.75,16.5,15.7,96.07,424,,687.5,META 1/30/26 P687.5,30.4,31.5,32.93,91.2,32
690,META 1/30/26 C690,15.3,15.45,13.85,96.81,6489,,690,META 1/30/26 P690,32.1,33,34.37,91.23,89
692.5,META 1/30/26 C692.5,13.9,14.55,13.38,95.63,788,,692.5,META 1/30/26 P692.5,33.5,34.6,36.66,90.72,176
695,META 1/30/26 C695,13.15,13.65,12.24,95.69,2145,,695,META 1/30/26 P695,34.95,36.25,35.95,90.15,13
697.5,META 1/30/26 C697.5,12.35,12.8,11.75,95.59,704,,697.5,META 1/30/26 P697.5,36.8,37.8,39.96,90.07,185
700,META 1/30/26 C700,11.64999962,11.89999962,10.52999973,95.4228363,17246,,700,META 1/30/26 P700,38.59999084,39.44999695,43.41999817,89.90703583,193
